exp,long,lat,baseline_yield,ssp126_gfdl_av,ssp370_gfdl_av,ssp126_ipsl_av,ssp370_ipsl_av,ssp126_gfdl_pc,ssp370_gfdl_pc,ssp126_ipsl_pc,ssp370_ipsl_pc
114115,-2.75,10.75,1885,1842,1411,1943,1663,-2.28,-25.15,3.08,-11.78
114115,-2.75,10.75,1767,1979,1775,1701,1683,12,0.45,-3.74,-4.75
114115,-2.75,10.75,1742,1823,1870,1767,1540,4.65,7.35,1.44,-11.6
114115,-2.75,10.75,1766,1870,1881,1381,1392,5.89,6.51,-21.8,-21.18
114115,-2.75,10.75,1834,1997,1902,1588,1786,8.89,3.71,-13.41,-2.62
114115,-2.75,10.75,1819,1795,1712,1754,1644,-1.32,-5.88,-3.57,-9.62
114115,-2.75,10.75,1802,1840,1801,1800,1431,2.11,-0.06,-0.11,-20.59
114115,-2.75,10.75,1687,1863,1796,1732,1462,10.43,6.46,2.67,-13.34
114115,-2.75,10.75,1827,1823,1880,1378,1213,-0.22,2.9,-24.58,-33.61
114115,-2.75,10.75,1753,1837,1759,1613,1278,4.79,0.34,-7.99,-27.1
114115,-2.75,10.75,1751,1688,1773,1626,463,-3.6,1.26,-7.14,-73.56
114115,-2.75,10.75,1755,1726,1644,1729,1454,-1.65,-6.32,-1.48,-17.15
114115,-2.75,10.75,1862,1815,1945,1775,1498,-2.52,4.46,-4.67,-19.55
114115,-2.75,10.75,1707,1935,1675,1462,868,13.36,-1.87,-14.35,-49.15
114115,-2.75,10.75,1733,1831,1796,1589,1485,5.65,3.64,-8.31,-14.31
114115,-2.75,10.75,1642,1798,1875,1777,1621,9.5,14.19,8.22,-1.28
114115,-2.75,10.75,1732,2051,1527,1377,1514,18.42,-11.84,-20.5,-12.59
114115,-2.75,10.75,1781,1869,1657,1463,1513,4.94,-6.96,-17.86,-15.05
114115,-2.75,10.75,1784,1886,1740,1766,893,5.72,-2.47,-1.01,-49.94
114115,-2.75,10.75,1771,1908,1702,1072,1329,7.74,-3.9,-39.47,-24.96
114116,-2.25,10.75,1876,1829,1702,1928,1716,-2.51,-9.28,2.77,-8.53
114116,-2.25,10.75,1707,1951,1778,1725,1748,14.29,4.16,1.05,2.4
114116,-2.25,10.75,1766,1837,1864,1803,1564,4.02,5.55,2.1,-11.44
114116,-2.25,10.75,1753,1828,1872,1659,1437,4.28,6.79,-5.36,-18.03
114116,-2.25,10.75,1840,2024,1874,1575,1773,10,1.85,-14.4,-3.64
114116,-2.25,10.75,1692,1793,1692,1759,1679,5.97,0,3.96,-0.77
114116,-2.25,10.75,1832,1823,1796,1776,1420,-0.49,-1.97,-3.06,-22.49
114116,-2.25,10.75,1704,1867,1767,1740,1477,9.57,3.7,2.11,-13.32
114116,-2.25,10.75,1825,1800,1864,1386,1236,-1.37,2.14,-24.05,-32.27
114116,-2.25,10.75,1741,1814,1782,1642,1284,4.19,2.35,-5.69,-26.25
114116,-2.25,10.75,1762,1696,1743,1600,609,-3.75,-1.08,-9.19,-65.44
114116,-2.25,10.75,1744,1751,1639,1747,1464,0.4,-6.02,0.17,-16.06
114116,-2.25,10.75,1839,1793,1944,1750,1490,-2.5,5.71,-4.84,-18.98
114116,-2.25,10.75,1740,1926,1637,1440,943,10.69,-5.92,-17.24,-45.8
114116,-2.25,10.75,1727,1815,1764,1580,1497,5.1,2.14,-8.51,-13.32
114116,-2.25,10.75,1646,1761,1829,1773,1641,6.99,11.12,7.72,-0.3
114116,-2.25,10.75,1723,2033,1660,1455,1530,17.99,-3.66,-15.55,-11.2
114116,-2.25,10.75,1785,1809,1631,1607,1528,1.34,-8.63,-9.97,-14.4
114116,-2.25,10.75,1780,1854,1771,1777,971,4.16,-0.51,-0.17,-45.45
114116,-2.25,10.75,1777,1899,1819,1057,1383,6.87,2.36,-40.52,-22.17
114117,-1.75,10.75,1946,1771,1619,1885,1582,-8.99,-16.8,-3.13,-18.71
114117,-1.75,10.75,1685,1892,1702,1672,1628,12.28,1.01,-0.77,-3.38
