geometry,yield_okra_baseline_era_5_africa.csv,biomass_okra_baseline_era_5_africa.csv,duration_okra_baseline_era_5_africa.csv,yield_pigeonpea_baseline_era_5_africa.csv,biomass_pigeonpea_baseline_era_5_africa.csv,duration_pigeonpea_baseline_era_5_africa.csv,yield_groundnut_baseline_era_5_africa.csv,biomass_groundnut_baseline_era_5_africa.csv,duration_groundnut_baseline_era_5_africa.csv,yield_soybean_baseline_era_5_africa.csv,biomass_soybean_baseline_era_5_africa.csv,duration_soybean_baseline_era_5_africa.csv,yield_bambaragroundnut_baseline_era_5_africa.csv,biomass_bambaragroundnut_baseline_era_5_africa.csv,duration_bambaragroundnut_baseline_era_5_africa.csv,yield_yams_baseline_era_5_africa.csv,biomass_yams_baseline_era_5_africa.csv,duration_yams_baseline_era_5_africa.csv,duration_groundnut_future_ssp370,duration_soybean_future_ssp126,biomass_bambaragroundnut_future_ssp126,duration_okra_historical,yield_yams_future_ssp370,yield_bambaragroundnut_future_ssp370,yield_soybean_historical,biomass_okra_historical,biomass_groundnut_future_ssp370,yield_bambaragroundnut_historical,biomass_pigeonpea_future_ssp126,biomass_groundnut_historical,biomass_soybean_historical,yield_groundnut_future_ssp126,biomass_bambaragroundnut_historical,duration_pigeonpea_future_ssp370,yield_yams_future_ssp126,biomass_okra_future_ssp370,yield_pigeonpea_future_ssp370,yield_bambaragroundnut_future_ssp126,duration_bambaragroundnut_future_ssp370,yield_groundnut_future_ssp370,biomass_soybean_future_ssp126,yield_soybean_future_ssp370,duration_yams_future_ssp126,yield_okra_future_ssp126,yield_pigeonpea_historical,yield_okra_historical,duration_soybean_historical,yield_okra_future_ssp370,biomass_yams_future_ssp126,duration_groundnut_historical,duration_pigeonpea_historical,duration_okra_future_ssp126,yield_soybean_future_ssp126,biomass_yams_future_ssp370,biomass_groundnut_future_ssp126,duration_pigeonpea_future_ssp126,duration_soybean_future_ssp370,duration_groundnut_future_ssp126,biomass_okra_future_ssp126,yield_groundnut_historical,duration_yams_historical,duration_bambaragroundnut_historical,biomass_pigeonpea_future_ssp370,biomass_pigeonpea_historical,duration_yams_future_ssp370,duration_okra_future_ssp370,biomass_bambaragroundnut_future_ssp370,yield_yams_historical,biomass_yams_historical,duration_bambaragroundnut_future_ssp126,biomass_soybean_future_ssp370,yield_pigeonpea_future_ssp126
POINT (19.25 -34.25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (19.75 -34.25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (20.25 -34.25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (20.75 -34.25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (21.25 -34.25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (21.75 -34.25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (18.75 -33.75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (19.25 -33.75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (19.75 -33.75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (20.25 -33.75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (20.75 -33.75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (21.25 -33.75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (21.75 -33.75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
