geometry
"POLYGON ((19.5 -34, 19.5 -34.5, 19 -34.5, 19 -34, 19.5 -34))"
"POLYGON ((20 -34, 20 -34.5, 19.5 -34.5, 19.5 -34, 20 -34))"
"POLYGON ((20.5 -34, 20.5 -34.5, 20 -34.5, 20 -34, 20.5 -34))"
"POLYGON ((21 -34, 21 -34.5, 20.5 -34.5, 20.5 -34, 21 -34))"
"POLYGON ((21.5 -34, 21.5 -34.5, 21 -34.5, 21 -34, 21.5 -34))"
"POLYGON ((22 -34, 22 -34.5, 21.5 -34.5, 21.5 -34, 22 -34))"
"POLYGON ((19 -33.5, 19 -34, 18.5 -34, 18.5 -33.5, 19 -33.5))"
"POLYGON ((19.5 -33.5, 19.5 -34, 19 -34, 19 -33.5, 19.5 -33.5))"
"POLYGON ((20 -33.5, 20 -34, 19.5 -34, 19.5 -33.5, 20 -33.5))"
"POLYGON ((20.5 -33.5, 20.5 -34, 20 -34, 20 -33.5, 20.5 -33.5))"
"POLYGON ((21 -33.5, 21 -34, 20.5 -34, 20.5 -33.5, 21 -33.5))"
"POLYGON ((21.5 -33.5, 21.5 -34, 21 -34, 21 -33.5, 21.5 -33.5))"
"POLYGON ((22 -33.5, 22 -34, 21.5 -34, 21.5 -33.5, 22 -33.5))"
"POLYGON ((22.5 -33.5, 22.5 -34, 22 -34, 22 -33.5, 22.5 -33.5))"
"POLYGON ((23 -33.5, 23 -34, 22.5 -34, 22.5 -33.5, 23 -33.5))"
"POLYGON ((23.5 -33.5, 23.5 -34, 23 -34, 23 -33.5, 23.5 -33.5))"
"POLYGON ((24 -33.5, 24 -34, 23.5 -34, 23.5 -33.5, 24 -33.5))"
"POLYGON ((24.5 -33.5, 24.5 -34, 24 -34, 24 -33.5, 24.5 -33.5))"
"POLYGON ((25 -33.5, 25 -34, 24.5 -34, 24.5 -33.5, 25 -33.5))"
"POLYGON ((25.5 -33.5, 25.5 -34, 25 -34, 25 -33.5, 25.5 -33.5))"
"POLYGON ((26 -33.5, 26 -34, 25.5 -34, 25.5 -33.5, 26 -33.5))"
"POLYGON ((26.5 -33.5, 26.5 -34, 26 -34, 26 -33.5, 26.5 -33.5))"
"POLYGON ((18.5 -33, 18.5 -33.5, 18 -33.5, 18 -33, 18.5 -33))"
"POLYGON ((19 -33, 19 -33.5, 18.5 -33.5, 18.5 -33, 19 -33))"
"POLYGON ((19.5 -33, 19.5 -33.5, 19 -33.5, 19 -33, 19.5 -33))"
"POLYGON ((20 -33, 20 -33.5, 19.5 -33.5, 19.5 -33, 20 -33))"
"POLYGON ((20.5 -33, 20.5 -33.5, 20 -33.5, 20 -33, 20.5 -33))"
"POLYGON ((21 -33, 21 -33.5, 20.5 -33.5, 20.5 -33, 21 -33))"
"POLYGON ((21.5 -33, 21.5 -33.5, 21 -33.5, 21 -33, 21.5 -33))"
"POLYGON ((22 -33, 22 -33.5, 21.5 -33.5, 21.5 -33, 22 -33))"
"POLYGON ((22.5 -33, 22.5 -33.5, 22 -33.5, 22 -33, 22.5 -33))"
"POLYGON ((23 -33, 23 -33.5, 22.5 -33.5, 22.5 -33, 23 -33))"
"POLYGON ((23.5 -33, 23.5 -33.5, 23 -33.5, 23 -33, 23.5 -33))"
"POLYGON ((24 -33, 24 -33.5, 23.5 -33.5, 23.5 -33, 24 -33))"
"POLYGON ((24.5 -33, 24.5 -33.5, 24 -33.5, 24 -33, 24.5 -33))"
"POLYGON ((25 -33, 25 -33.5, 24.5 -33.5, 24.5 -33, 25 -33))"
"POLYGON ((25.5 -33, 25.5 -33.5, 25 -33.5, 25 -33, 25.5 -33))"
"POLYGON ((26 -33, 26 -33.5, 25.5 -33.5, 25.5 -33, 26 -33))"
"POLYGON ((26.5 -33, 26.5 -33.5, 26 -33.5, 26 -33, 26.5 -33))"
"POLYGON ((27 -33, 27 -33.5, 26.5 -33.5, 26.5 -33, 27 -33))"
"POLYGON ((27.5 -33, 27.5 -33.5, 27 -33.5, 27 -33, 27.5 -33))"
"POLYGON ((18.5 -32.5, 18.5 -33, 18 -33, 18 -32.5, 18.5 -32.5))"
"POLYGON ((19 -32.5, 19 -33, 18.5 -33, 18.5 -32.5, 19 -32.5))"
"POLYGON ((19.5 -32.5, 19.5 -33, 19 -33, 19 -32.5, 19.5 -32.5))"
"POLYGON ((20 -32.5, 20 -33, 19.5 -33, 19.5 -32.5, 20 -32.5))"
"POLYGON ((20.5 -32.5, 20.5 -33, 20 -33, 20 -32.5, 20.5 -32.5))"
"POLYGON ((21 -32.5, 21 -33, 20.5 -33, 20.5 -32.5, 21 -32.5))"
"POLYGON ((21.5 -32.5, 21.5 -33, 21 -33, 21 -32.5, 21.5 -32.5))"
"POLYGON ((22 -32.5, 22 -33, 21.5 -33, 21.5 -32.5, 22 -32.5))"
"POLYGON ((22.5 -32.5, 22.5 -33, 22 -33, 22 -32.5, 22.5 -32.5))"
"POLYGON ((23 -32.5, 23 -33, 22.5 -33, 22.5 -32.5, 23 -32.5))"
"POLYGON ((23.5 -32.5, 23.5 -33, 23 -33, 23 -32.5, 23.5 -32.5))"
"POLYGON ((24 -32.5, 24 -33, 23.5 -33, 23.5 -32.5, 24 -32.5))"
"POLYGON ((24.5 -32.5, 24.5 -33, 24 -33, 24 -32.5, 24.5 -32.5))"
"POLYGON ((25 -32.5, 25 -33, 24.5 -33, 24.5 -32.5, 25 -32.5))"
"POLYGON ((25.5 -32.5, 25.5 -33, 25 -33, 25 -32.5, 25.5 -32.5))"
"POLYGON ((26 -32.5, 26 -33, 25.5 -33, 25.5 -32.5, 26 -32.5))"
"POLYGON ((26.5 -32.5, 26.5 -33, 26 -33, 26 -32.5, 26.5 -32.5))"
"POLYGON ((27 -32.5, 27 -33, 26.5 -33, 26.5 -32.5, 27 -32.5))"
"POLYGON ((27.5 -32.5, 27.5 -33, 27 -33, 27 -32.5, 27.5 -32.5))"
"POLYGON ((28 -32.5, 28 -33, 27.5 -33, 27.5 -32.5, 28 -32.5))"
"POLYGON ((28.5 -32.5, 28.5 -33, 28 -33, 28 -32.5, 28.5 -32.5))"
"POLYGON ((19 -32, 19 -32.5, 18.5 -32.5, 18.5 -32, 19 -32))"
"POLYGON ((19.5 -32, 19.5 -32.5, 19 -32.5, 19 -32, 19.5 -32))"
"POLYGON ((20 -32, 20 -32.5, 19.5 -32.5, 19.5 -32, 20 -32))"
"POLYGON ((20.5 -32, 20.5 -32.5, 20 -32.5, 20 -32, 20.5 -32))"
"POLYGON ((21 -32, 21 -32.5, 20.5 -32.5, 20.5 -32, 21 -32))"
"POLYGON ((21.5 -32, 21.5 -32.5, 21 -32.5, 21 -32, 21.5 -32))"
"POLYGON ((22 -32, 22 -32.5, 21.5 -32.5, 21.5 -32, 22 -32))"
"POLYGON ((22.5 -32, 22.5 -32.5, 22 -32.5, 22 -32, 22.5 -32))"
"POLYGON ((23 -32, 23 -32.5, 22.5 -32.5, 22.5 -32, 23 -32))"
"POLYGON ((23.5 -32, 23.5 -32.5, 23 -32.5, 23 -32, 23.5 -32))"
"POLYGON ((24 -32, 24 -32.5, 23.5 -32.5, 23.5 -32, 24 -32))"
"POLYGON ((24.5 -32, 24.5 -32.5, 24 -32.5, 24 -32, 24.5 -32))"
"POLYGON ((25 -32, 25 -32.5, 24.5 -32.5, 24.5 -32, 25 -32))"
"POLYGON ((25.5 -32, 25.5 -32.5, 25 -32.5, 25 -32, 25.5 -32))"
"POLYGON ((26 -32, 26 -32.5, 25.5 -32.5, 25.5 -32, 26 -32))"
"POLYGON ((26.5 -32, 26.5 -32.5, 26 -32.5, 26 -32, 26.5 -32))"
"POLYGON ((27 -32, 27 -32.5, 26.5 -32.5, 26.5 -32, 27 -32))"
"POLYGON ((27.5 -32, 27.5 -32.5, 27 -32.5, 27 -32, 27.5 -32))"
