id,Protein,Calcium,Iron,Zinc,Vitamin A,Folate,Storage Potential
grasspea,7,1,5,5,5,3,
pigeonpea,3,4,3,2,8,5,
bambaragroundnut,2,1,0,1,0,0,
lablab,4,1,8,2,0,0,
cowpea,4,2,6,5,1,7,5
mungbean,6,6,9,2,9,10,
groundnut,4,0,2,3,3,2,
soybean,8,10,10,9,0,6,
maize,0,1,10,5,,5,
fonio,9,5,2,9,,9,
tef,1,1,0,0,,0,
okra,,,,,,,
fingermillet,6,0,2,2,7,0,
sorghum,,,,,,,
sesame,,,,,,,
cocoyam,8,1,1,1,0,8,
taro,7,3,7,3,0,7,
yams,5,1,2,1,0,4,
sweetpotato,2,9,3,3,10,1,
cassava,3,5,7,10,0,8,
tomato,2,0,0,3,2,0,
africaneggplant,3,0,1,3,0,0,
josephscoat,8,10,7,9,10,1,
