id,North,Central,East,South,West
grasspea,High,Low,High,Low,Low
pigeonpea,Low,Low,High,High,High
bambaragroundnut,Low,High,Low,High,High
lablab,Low,Low,High,Low,Low
cowpea,Medium,High,High,High,High
mungbean,Low,Low,High,Medium,High
groundnut,Medium,High,High,High,High
soybean,,,,,
maize,,,,,
fonio,Low,Low,Low,Low,High
tef,Low,Low,High,Low,Low
fingermillet,Low,Low,High,High,Low
sorghum,Low,Low,High,High,High
sesame,Low,Low,High,Low,High
cocoyam,Low,High,Low,Low,High
taro,Low,High,Medium,High,High
yams,Low,Medium,Medium,Medium,High
sweetpotato,Medium,High,High,High,High
cassava,Low,High,High,Medium,High
tomato,,,,,
okra,High,High,High,High,High
josephscoat,Medium,High,High,High,High
africaneggplant,Low,High,High,Medium,High
pearlmillet,,,,,
