biomass_taro_future_ssp126,duration_taro_future_ssp126,duration_tef_historical_ssp370,duration_soybean_future_ssp370,yield_fonio_future_ssp370,yield_fonio_future_ssp126,duration_taro_future_ssp370,duration_tomato_historical_ssp370,duration_tef_future_ssp370,biomass_taro_historical_ssp370,duration_fonio_historical_ssp370,yield_groundnut_historical_ssp370,biomass_sesame_historical_ssp370,duration_soybean_historical_ssp370,yield_tomato_future_ssp370,biomass_sesame_future_ssp370,biomass_sesame_future_ssp126,yield_taro_future_ssp126,duration_cowpea_future_ssp126,biomass_tef_future_ssp370,biomass_groundnut_future_ssp126,biomass_tomato_historical_ssp370,yield_maize_future_ssp370,yield_maize_historical_ssp370,duration_tomato_future_ssp370,biomass_groundnut_historical_ssp370,biomass_maize_future_ssp370,biomass_sorghum_historical_ssp370,yield_tomato_future_ssp126,yield_tomato_historical_ssp370,yield_sesame_historical_ssp370,yield_sorghum_historical_ssp370,biomass_fonio_future_ssp126,biomass_cowpea_future_ssp370,duration_fonio_future_ssp126,duration_cowpea_future_ssp370,yield_tef_future_ssp370,duration_sesame_historical_ssp370,yield_soybean_future_ssp370,duration_tef_future_ssp126,yield_sesame_future_ssp126,yield_tef_future_ssp126,yield_maize_future_ssp126,yield_groundnut_future_ssp126,biomass_tomato_future_ssp370,yield_tef_historical_ssp370,biomass_soybean_future_ssp126,biomass_tef_future_ssp126,biomass_groundnut_future_ssp370,duration_sesame_future_ssp126,yield_soybean_historical_ssp370,duration_cowpea_historical_ssp370,yield_taro_historical_ssp370,duration_groundnut_future_ssp370,yield_sorghum_future_ssp370,duration_taro_historical_ssp370,biomass_soybean_historical_ssp370,duration_groundnut_historical_ssp370,biomass_fonio_future_ssp370,yield_fonio_historical_ssp370,duration_maize_historical_ssp370,yield_cowpea_future_ssp126,biomass_tef_historical_ssp370,duration_sorghum_future_ssp370,duration_sorghum_historical_ssp370,duration_sorghum_future_ssp126,biomass_sorghum_future_ssp370,yield_sorghum_future_ssp126,duration_maize_future_ssp370,biomass_taro_future_ssp370,duration_tomato_future_ssp126,biomass_cowpea_future_ssp126,duration_fonio_future_ssp370,biomass_tomato_future_ssp126,yield_cowpea_future_ssp370,yield_cowpea_historical_ssp370,yield_soybean_future_ssp126,duration_sesame_future_ssp370,yield_taro_future_ssp370,yield_groundnut_future_ssp370,duration_groundnut_future_ssp126,duration_maize_future_ssp126,biomass_maize_future_ssp126,biomass_fonio_historical_ssp370,duration_soybean_future_ssp126,biomass_maize_historical_ssp370,biomass_sorghum_future_ssp126,biomass_soybean_future_ssp370,yield_sesame_future_ssp370,biomass_cowpea_historical_ssp370,id
,,91,,,,,,91,,,,,,,,,,,3864.45,,,173.178,132.278,,,509.455,298.666,,,,101.584,,,,,734.209,,,91,,627.958,146.473,,,502.208,,3304.958,,,,,,,146.518,,,,,,82.685,,2643.333,56.938,58.694,56.956,430.973,117.67,78.518,,,,,,,,,,,,,79.241,430.804,,,388.917,346.143,,,,"1"
,,91,,,,,,91,,,,,,,,,,,3293.917,,,146.946,97.982,,,432.152,279.232,,,,94.926,,,,,625.875,,,91,,550.233,125.598,,,443.384,,2895.8,,,,,,,135.188,,,,,,80.87,,2333.884,55.902,57.315,55.768,397.607,105.777,77.161,,,,,,,,,,,,,77.786,369.295,,,288.222,311.009,,,,"2"
,,91,,,,,,91,,,,,,,,,,,3884.3,,,287.688,180.259,,,846.232,371.296,,,,126.232,,,,,738.033,,,91,,681.642,228.402,,,572.042,,3587.767,,,,,,,176.741,,,,,,77.407,,3010.634,54.589,55.528,53.866,519.884,134.884,74.116,,,,,,,,,,,,,74.036,671.75,,,530.148,396.732,,,,"3"
,,91,,,,,,91,,,,,,,,,,,3849.583,,,308.348,222.796,,,906.902,357.861,,,,121.676,,,,,731.425,,,91,,682.783,258.348,,,582.908,,3593.667,,,,,,,172.428,,,,,,77.667,,3068,54.205,55.139,53.482,507.214,129.312,74.554,,,,,,,,,,,,,74.303,759.822,,,655.482,380.241,,,,"4"
,,91,,,,,,91,,,,,,,,,,,3560.233,,,264.206,164.065,,,777.081,268.926,,,,91.463,,,,,676.425,,,91,,631.917,201.429,,,547.917,,3326.092,,,,,,,135.322,,,,,,77.306,,2883.892,53.357,53.861,52.312,397.893,97.973,74.795,,,,,,,,,,,,,74.313,592.536,,,482.565,288.134,,,,"5"
,,91,,,,,,91,,,,,,,,,,,3729.025,,,256.25,170.63,,,753.66,280.222,,,,95.268,,,,,708.525,,,91,,651.975,214.634,,,568.158,,3431.5,,,,,,,139.929,,,,,,79.842,,2990.308,55.464,55.972,54.455,411.625,102.009,77.259,,,,,,,,,,,,,76.777,631.241,,,501.806,300.036,,,,"6"
,,91,,,,,,91,,,,,,,,,,,4502.542,,,106.688,83.046,,,313.92,261.5,,,,88.917,,,,,855.492,,,91,,744.025,99.58,,,606.817,,3916.167,,,,,,,126.026,,,,,,76.028,,3193.858,51.322,53.574,51.795,370.777,100.741,70.911,,,,,,,,,,,,,72.152,292.982,,,244.407,296.179,,,,"7"
,,91,,,,,,91,,,,,,,,,,,2876.683,,,100.446,80.037,,,295.437,206.787,,,,70.361,,,,,546.592,,,91,,432.375,93.357,,,310.692,,2275.775,,,,,,,106.822,,,,,,84.667,,1635.316,56.33,59.092,56.964,313.956,86.973,78.768,,,,,,,,,,,,,80.25,274.67,,,235.361,255.661,,,,"8"
,,91,,,,,,91,,,,,,,,,,,2970.65,,,56.66,47,,,166.759,228.046,,,,77.574,,,,,564.408,,,91,,489.108,54.196,,,376.467,,2574.433,,,,,,,109,,,,,,75.806,,1981.867,51.58,53.981,52.062,320.688,89.839,69.902,,,,,,,,,,,,,71.223,159.393,,,138.231,264.223,,,,"9"
,,91,,,,,,91,,,,,,,,,,,2876.875,,,176.509,105.75,,,519.009,276.648,,,,94.028,,,,,546.566,,,91,,471.258,121.08,,,348.1,,2480.333,,,,,,,144.625,,,,,,77.759,,1832.375,53.75,55.658,53.304,425.277,104.214,71.688,,,,,,,,,,,,,72.268,356.107,,,311.13,306.482,,,,"10"
